row_id,token_before,token_after,before_text,after_text,gt_text
6,Всеподданнѣйше,Всеподданнѣйшій,Всеподданнѣйше,Всеподданнѣйшій,Всеподданными
7,допосъ,доросъ,допосъ,доросъ,донося
20,"благопосично,","благополучно,","благопосично,","благополучно,","благопослучно,"
44,состоить,состоять,состоить,состоять,состоитъ
91,Iотя,Іоты,Iотя,Іоты,Хотя
99,затруденіе,затруденіи,затруденіе,затруденіи,затруденіи
101,обизначенія,обозначенія,обизначенія,обозначенія,обезпеченія
132,недоститковъ,недостатковъ,недоститковъ,недостатковъ,недостатокъ
137,дейтели,деятели,дейтели,деятели,деятели
139,удовлестворить,удовлетворить,удовлестворить,удовлетворить,удовлетворить
145,"магариновъ,","магазиновъ,","магариновъ,","магазиновъ,","магазиновъ,"
157,повертей;,поверти;,повертей;,поверти;,твертей;
161,рабково,раковъ,рабково,раковъ,работа
171,"зверей,","звѣрей,","зверей,","звѣрей,","звѣрей,"
207,"снимъ,","сникъ,","снимъ,","сникъ,","скимъ,"
252,кредитным,кредитный,кредитным,кредитный,кредитныя
291,"дежду,","деку,","О дежду,","О деку,","Одежду,"
318,кормбыхъ,кормвыхъ,кормбыхъ,кормвыхъ,кормвыхъ
330,речаной,ренной,речаной,ренной,ржаной
355,нумеров,нумерова,дѣвкѣ нумеров,дѣвкѣ нумерова,дѣкѣ ну меров
356,потод,пото,потод,пото,пятьд
357,мячь,мячу,мячь,мячу,сятъ
360,Обора,Обра,Обора,Обра,Сбора
640,вродячи,вродяги,вродячи,вродяги,вродяги
655,несполне,невполне,несполне,невполне,невполне
658,сил,си,сил,си,слѣ
668,сибиръ,сибир,сибиръ,сибир,Сибирь
677,менщинъ.,мененъ.,менщинъ.,мененъ.,женщинъ.
695,открыти,открыто,открыти,открыто,открыто
710,литета,литота,литета,литота,митета
720,виедно,видно,виедно,видно,видно
763,подрадчикомъ,подрядчикомъ,подрадчикомъ,подрядчикомъ,подрядчикамъ
767,окончина,окончила,окончина,окончила,окончена
786,Испров,Исправ,Испров,Исправ,Исправ
787,заиключеніемъ,заключеніемъ,заиключеніемъ,заключеніемъ,за исключеніемъ
845,Тапографія,Тахиграфія,Тапографія,Тахиграфія,Типографія
891,чискихъ,чичьихъ,чискихъ,чичьихъ,ческіхъ
893,мѣзь.,мѣчь.,99 мѣзь.,99 мѣчь.,99 назв.
897,бумму,буму,на бумму,на буму,на сумму
907,"углѣчило,","углубило,","углѣчило,","углубило,","успѣшно,"
994,Княгъ,Книгъ,Княгъ,Книгъ,Князь
1012,всѣмѣ,всѣм,всѣмѣ,всѣм,всѣмъ
1033,теп.,те.,4-о теп.,4-о те.,4-й степ.
1047,капеп.,капа.,3 капеп.,3 капа.,3-й степ.
1050,медило,медико,медило,медико,медалью
1052,надпишью,надписью,надпишью,надписью,надписью
1057,лебнія.,ленія.,лебнія.,ленія.,шенія.
1099,судимихъ,судимыхъ,судимихъ,судимыхъ,судимыхъ
1107,взыкнанія,взыванія,взыкнанія,взыванія,взысканія
1167,золотопроснышленника,золотопромышленника,золотопроснышленника,золотопромышленника,золотопромышленника
1180,кредитеры,кредиторы,кредитеры,кредиторы,кредиторы
1231,"Iюля,","Іюля,","Iюля,","Іюля,","Iюля,"
1268,Iюля,Іюля,Iюля 1858 г.,Іюля 1858 г.,Iюля 1858 г.
1276,золотопромышленно,золотопромышленни,золотопромышленно,золотопромышленни,золотопромышленни
1316,копескъ,копеекъ,копескъ,копеекъ,копѣекъ
1320,рубла,рубл,3 рубла,3 рубл,3 рубли
1333,Подонесенію,Поднесенію,Подонесенію,Поднесенію,По донесенію
1343,рядника,рядчика,У рядника,У рядчика,Урядника
1344,Кандына,Кандина,Кандына,Кандина,Кандина
1355,СОДЕРЖАНIЕ,СОДЕРЖАНІЕ,СОДЕРЖАНIЕ,СОДЕРЖАНІЕ,СОДЕРЖАНIЕ
1439,Оскорѣшеніемъ,Оскорбленіемъ,Оскорѣшеніемъ,Оскорбленіемъ,О скорѣйшемъ
1448,Iюля,Іюля,Iюля,Іюля,Iюля
1462,допипъ,допивъ,допипъ,допивъ,одинъ
1486,стивѣсшему,стивѣйшему,стивѣсшему,стивѣйшему,стивѣйшему
1503,СОДЕРЖАНIЕ,СОДЕРЖАНІЕ,СОДЕРЖАНIЕ,СОДЕРЖАНІЕ,СОДЕРЖАНIЕ
1522,Iюня,Іюня,Iюня,Іюня,Iюня
1524,Iюля,Іюля,Iюля,Іюля,Iюля
1541,расложенія,разложенія,расложенія,разложенія,разложенія
1576,"слинскомъ,","слийскомъ,","слинскомъ,","слийскомъ,","слийскомъ,"
1618,вышеноказанныхъ,вышепоказанныхъ,вышеноказанныхъ,вышепоказанныхъ,вышепоказанныхъ
1619,учеблыкъ,учебникъ,учеблыкъ,учебникъ,учебныхъ
1642,череди,чередѣ,череди,чередѣ,очереди
1757,увелычивается;,увеличивается;,увелычивается;,увеличивается;,увеличивается;
1831,чрезвычай,чрезвычайна,чрезвычай но,чрезвычайна но,чрезвычайно
1879,причнанныхъ,признанныхъ,причнанныхъ,признанныхъ,признанныхъ
1896,Гавриля,Гаврило,Гавриля Типо,Гаврило Типо,Гаврила Тихо
1900,Iюня,Іюня,Iюня,Іюня,Iюня
1949,хлѣбна,хлѣба,хлѣбна,хлѣба,хлѣбно
1956,съл,съ,порядокъ съл,порядокъ съ,порядокъ дѣлъ
2010,Покопіи,Покои,Покопіи,Покои,По копіи
2011,постановлен,постановлено,постановлен,постановлено,постановлені
2040,проному,пролому,проному,пролому,пооному
2059,Iюля,Іюля,Iюля,Іюля,Iюля
2061,Исправляющъ,Исправляюща,Исправляющъ,Исправляюща,Исправляюща
2072,скаю,ска,скаю,ска,скаго
2084,Гилева,Гилевѣ,Гилева,Гилевѣ,Гилевѣ
2096,Туруха,Турухан,Туруха,Турухан,Турухан
2165,магазинов,магазиновъ,магазинов,магазиновъ,магазиновъ
2166,мяркинг,мякины,мяркинг,мякины,и Яркинc
2170,Iюня,Іюня,Iюня,Іюня,Iюня
2182,инбажскаго,инбатскаго,инбажскаго,инбатскаго,инбатского
2183,кладочка,кладовка,с кладочка,с кладовка,складочка
2204,налѣба.,наѣла.,налѣба.,наѣла.,и хлѣба.
2208,Поручина,Поручила,Поручина,Поручила,Поручика
2221,отнош,отно,отнош,отно,отноше
2236,Очемь,Очепь,Очемь,Очепь,Очемъ
2270,Итола,Итожа,Отдѣленія Итола,Отдѣленія Итожа,Отдѣленія 1 Стола
2275,непалученію,неполученію,По непалученію,По неполученію,По неполученію
2304,железныхъ,желзныхъ,железныхъ,желзныхъ,желѣзныхъ
2313,Батай,Бата,въ Батай,въ Бата,въ Баталі
2314,онкомъ,ономъ,онкомъ,ономъ,онномъ
2357,Ивано,Иван,волости Ивано Сухоров,волости Иван Сухого,волости Ивана Сухфа
2357,Сухоров,Сухого,волости Ивано Сухоров,волости Иван Сухого,волости Ивана Сухфа
2374,Эксподи,Экспеди,Эксподи,Экспеди,Экспеди
2396,"Iюля,","Іюля,","28 Iюля,","28 Іюля,","28 Iюля,"
2409,Стах,Ста,Стах,Ста,Стан
2443,окому,окоту,окому под-,окоту под-,оному под-
2444,мость,мост,мость Минусинскаго округа,мост Минусинскаго округа,лость Минусинскаго округа
2450,долотность,должность,долотность,должность,должность
2464,Похабод,Поход,Похабод,Поход,Похабову
2480,суд,су,на суд,на су,на су
2512,Сомсо,Сомо,Сомсо,Сомо,Сомо-
2519,Iюня,Іюня,Iюня,Іюня,Iюня
2545,ереса,ереси,ереса,ереси,"ереси, а"
2564,"надонесенія,","нанесенія,","надонесенія,","нанесенія,","на донесенія,"
2622,Саррь,Сарра,Саррь,Сарра,Сарры
2640,Менеровичевой,Мейеровичевой,Менеровичевой,Мейеровичевой,Мейеровичевой
2666,пороздаеѣ,пороздачѣ,пороздаеѣ,пороздачѣ,пороздачѣ
2679,взыскаными,взысканымъ,взыскаными съ,взысканымъ съ,взысканымъ съ
2681,Таускева,Тауснева,Таускева,Тауснева,Тауснева
2697,"претенций,","претендуй,","претенций,","претендуй,","претензій,"
2701,"долянникамъ,","должникамъ,","долянникамъ,","должникамъ,","должникамъ,"
2705,Мѣщаниня,Мѣщанинъ,Мѣщаниня,Мѣщанинъ,Мѣщанина
2707,Малѣсъ,Малѣ,Малѣсъ,Малѣ,Малѣевъ
2711,Авгуфе,Авгу,Авгуфе,Авгу,Августа
2743,"Комиссии,","Комиссіи,","Комиссии,","Комиссіи,","Коммисіи,"
2787,производот,производст,производот,производст,производст
2803,Коммина,Коммуна,Коммина,Коммуна,Коммисію
2840,Командиро,Командира,Командиро,Командира,Командира
2849,чель,чел,50 чель,50 чел,50 челъ
2925,Даходъ,Дахъ,Даходъ,Дахъ,Доходъ
3110,Туруханско,Туруханску,Туруханско,Туруханску,Туруханскъ
3200,недостастъ,недостаетъ,недостастъ,недостаетъ,недостаетъ
3251,залогукъ,залогъ,залогукъ,залогъ,залогу къ
3272,приплду,припаду,приплду,припаду,приплоду:
3284,Логиадей,Лошадей,Логиадей,Лошадей,Лошадей
3318,срядъ,средъ,срядъ,средъ,ерядъ
3325,Осурцовъ,Островъ,Осурцовъ,Островъ,Огурцовъ
3371,наэти,наоти,наэти,наоти,наоти
3436,Надворня,Надворья,Надворня,Надворья,Надворный
3504,Сикитинъ,Ситинъ,Сикитинъ,Ситинъ,викитинъ
3709,Кортусу:,Коитусу:,Кортусу:,Коитусу:,Корпусу:
3878,Моркое,Морское,Моркое,Морское,Морское
3919,палковъ,паловъ,палковъ,паловъ,полковъ
4050,пелей,пеле,пелей,пеле,гелей
4084,Конол,Кол,Конол,Кол,Эконол
4280,Шимен,Шире,Шимен,Шире,Шилин
4336,Потылищинъ.,Потылицинъ.,Потылищинъ.,Потылицинъ.,Потылицинъ.
4344,Мокскевъ.,Моксеевъ.,Мокскевъ.,Моксеевъ.,Моксеевъ.
4431,Расколь,Расколъ,Расколь,Расколъ,Расколѣ
4501,пріемлющіх,пріемлющіе,пріемлющіх,пріемлющіе,пріемлющіе
4507,Iудействующую,Іудействующую,Iудействующую,Іудействующую,гу действующую
4686,Прилѣчаніе.,Примѣчаніе.,Прилѣчаніе.,Примѣчаніе.,Примѣчаніе.
4729,Думоѣ,Думѣ,Думоѣ,Думѣ,Думѣ
4917,Сида,Сира,Сида,Сира,Суда
4983,бунскаго,бурскаго,бунскаго,бурскаго,бернскаго
